ITEM_ID,CATEGORY,SUBCATEGORY,PRICE
598,Vehi,Motos,3700000
599,Vehi,Motos,3800000
600,Vehi,Motos,3900000
601,Vehi,Motos,4000000
602,Vehi,Motos,4000000
603,Vehi,Motos,4000000
604,Vehi,Motos,4050000
605,Vehi,Motos,4100000
606,Tecnologi,Celulares y teli,4100000
607,Vehi,Motos,4200000
608,Vehi,Motos,4200000
609,Moda y accesorios,Vestidos,4200000
610,Vehi,Motos,4200000
611,Vehi,Motos,4400000
612,Vehi,Motos,4500000
613,Deportes y entretenimiento,Bicicletas y accesorios,4700000
614,Deportes y entretenimiento,Bicicletas y accesorios,4800000
615,Vehi,Motos,4900000
616,Deportes y entretenimiento,Bicicletas y accesorios,5000000
617,Vehi,Motos,5000000
618,Deportes y entretenimiento,Bicicletas y accesorios,5100000
619,Inmuebles,Apartamentos,5200000
620,Deportes y entretenimiento,Bicicletas y accesorios,5750000
621,Vehi,Motos,5900000
622,Vehi,Carros,6000000
623,Vehi,Motos,6000000
624,Vehi,Motos,6500000
625,Vehi,Motos,6500000
626,Vehi,Motos,6700000
627,Vehi,Motos,7000000
628,Vehi,Motos,7100000
629,Vehi,Motos,7600000
630,Vehi,Motos,8000000
631,Deportes y entretenimiento,Bicicletas y accesorios,8000000
632,Vehi,Motos,8000000
633,Vehi,Motos,8200000
634,Vehi,Motos,8800000
635,Vehi,Motos,8900000
636,Vehi,Motos,9000000
637,Vehi,Motos,10000000
638,Vehi,Carros,10500000
639,Vehi,Carros,10700000
640,Vehi,Carros,10800000
641,Vehi,Motos,11000000
642,Vehi,Carros,11200000
643,Vehi,Motos,11200000
644,Vehi,Carros,11500000
645,Vehi,Carros,11500000
646,Vehi,Motos,12000000
647,Servicios y maquinaria,Otros servicios,12000000
648,Tecnologi,Camaras y accesorios,12000000
649,Vehi,Carros,12200000
650,Vehi,Carros,12200000
651,Vehi,Carros,13000000
652,Vehi,Carros,13500000
653,Vehi,Carros,13500000
654,Vehi,Carros,13500000
655,Vehi,Carros,13500000
656,Vehi,Carros,13800000
657,Vehi,Carros,14000000
658,Vehi,Carros,14000000
659,Vehi,Motos,14200000
660,Vehi,Carros,14500000
661,Vehi,Carros,14800000
662,Inmuebles,Lotes,14900000
663,Vehi,Carros,15000000
664,Vehi,Carros,15000000
665,Vehi,Motos,15000000
666,Vehi,Carros,15000000
667,Vehi,Carros,15000000
668,Vehi,Carros,15000000
669,Vehi,Carros,15000000
670,Vehi,Carros,15500000
671,Vehi,Carros,15500000
